INFO   | jvm 1    | 2016/12/13 15:54:08 |   Currently in standby mode.
INFO   | jvm 1    | 2016/12/13 15:54:08 |   Number of jobs executed: 0
INFO   | jvm 1    | 2016/12/13 15:54:08 |   Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
INFO   | jvm 1    | 2016/12/13 15:54:08 |   Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
INFO   | jvm 1    | 2016/12/13 15:54:08 | 
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.2.3
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] ERROR goods.schedule.QuartzTask - cronExpression cannot be null
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service completed!
STATUS | wrapper  | 2016/12/13 16:07:39 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/12/13 16:09:20 | Starting the Goods Service service...
STATUS | wrapper  | 2016/12/13 16:09:20 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/13 16:09:21 | Launching a JVM...
INFO   | jvm 1    | 2016/12/13 16:09:21 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/13 16:09:21 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/13 16:09:21 | 
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,253 [main] INFO  goods.utilities.BaseConfig - Load E:\workspace\SOAP Operate Goods\src\BaseConf.properties
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,375 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service started!
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,438 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,454 [WrapperSimpleAppMain] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: WrapperSimpleAppMain
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,475 [WrapperSimpleAppMain] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,476 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.2.3 created.
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,476 [WrapperSimpleAppMain] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,476 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.2.3) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
INFO   | jvm 1    | 2016/12/13 16:09:21 |   Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
INFO   | jvm 1    | 2016/12/13 16:09:21 |   NOT STARTED.
INFO   | jvm 1    | 2016/12/13 16:09:21 |   Currently in standby mode.
INFO   | jvm 1    | 2016/12/13 16:09:21 |   Number of jobs executed: 0
INFO   | jvm 1    | 2016/12/13 16:09:21 |   Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
INFO   | jvm 1    | 2016/12/13 16:09:21 |   Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
INFO   | jvm 1    | 2016/12/13 16:09:21 | 
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,476 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,476 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.2.3
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,491 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Goods started!
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,491 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - SFDCSession Job started!
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,491 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started.
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,491 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Scheduler start
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,491 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service completed!
INFO   | jvm 1    | 2016/12/13 16:09:21 | 2016-12-13 16:09:21,491 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
STATUS | wrapper  | 2016/12/13 16:09:22 | Goods Service started.
INFO   | jvm 1    | 2016/12/13 16:09:46 | 2016-12-13 16:09:45,969 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:10:15 | 2016-12-13 16:10:15,179 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:10:45 | 2016-12-13 16:10:45,035 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
ERROR  | wrapper  | 2016/12/13 16:11:12 | The Goods Service service is already running with status: RUNNING
INFO   | jvm 1    | 2016/12/13 16:11:13 | 2016-12-13 16:11:13,497 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:11:41 | 2016-12-13 16:11:41,563 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
STATUS | wrapper  | 2016/12/13 16:11:42 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/12/13 16:11:42 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/13 16:11:43 | Launching a JVM...
INFO   | jvm 1    | 2016/12/13 16:11:43 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/13 16:11:43 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/13 16:11:43 | 
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,420 [main] INFO  goods.utilities.BaseConfig - Load E:\workspace\SOAP Operate Goods\src\BaseConf.properties
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,504 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service started!
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,605 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,605 [WrapperSimpleAppMain] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: WrapperSimpleAppMain
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,620 [WrapperSimpleAppMain] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,620 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.2.3 created.
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,620 [WrapperSimpleAppMain] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,620 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.2.3) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
INFO   | jvm 1    | 2016/12/13 16:11:43 |   Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
